ProbeID	miRNA_name
20501280	hsa-miR-342-3p
20501281	hsa-miR-337-5p
20501282	hsa-miR-337-3p
20501283	hsa-miR-323a-5p
20501284	hsa-miR-323a-3p
20501285	hsa-miR-326
20501286	hsa-miR-151a-5p
20501287	hsa-miR-151a-3p
20501288	hsa-miR-135b-5p
20501289	hsa-miR-135b-3p
20501290	hsa-miR-148b-5p
20501291	hsa-miR-148b-3p
20501292	hsa-miR-331-5p
20501293	hsa-miR-331-3p
20501294	hsa-miR-324-5p
20501295	hsa-miR-324-3p
20501296	hsa-miR-338-5p
20501297	hsa-miR-338-3p
20501298	hsa-miR-339-5p
20501299	hsa-miR-339-3p
20501300	hsa-miR-335-5p
20501301	hsa-miR-335-3p
20501309	hsa-miR-133b
20501311	hsa-miR-325
20501312	hsa-miR-345-5p
20501313	hsa-miR-345-3p
20501314	hsa-miR-346
20501763	hsa-miR-384
20501771	hsa-miR-196b-5p
20501772	hsa-miR-196b-3p
20502122	hsa-miR-422a
20502123	hsa-miR-423-5p
20502124	hsa-miR-423-3p
20502125	hsa-miR-424-5p
20502126	hsa-miR-424-3p
20502129	hsa-miR-425-5p
20502130	hsa-miR-425-3p
20502235	hsa-miR-18b-5p
20502236	hsa-miR-18b-3p
20502237	hsa-miR-20b-5p
20502238	hsa-miR-20b-3p
20502354	hsa-miR-448
20502360	hsa-miR-429
20502367	hsa-miR-449a
20502373	hsa-miR-450a-5p
20502374	hsa-miR-450a-1-3p
20502437	hsa-miR-431-5p
20502438	hsa-miR-431-3p
20502440	hsa-miR-433-5p
20502441	hsa-miR-433-3p
20502444	hsa-miR-329-5p
20502445	hsa-miR-329-3p
20502446	hsa-miR-451a
20502451	hsa-miR-452-5p
20502452	hsa-miR-452-3p
20502455	hsa-miR-409-5p
20502456	hsa-miR-409-3p
20503094	hsa-miR-412-5p
20503095	hsa-miR-412-3p
20503096	hsa-miR-410-5p
20503097	hsa-miR-410-3p
20503098	hsa-miR-376b-5p
20503099	hsa-miR-376b-3p
20503100	hsa-miR-483-5p
20503101	hsa-miR-483-3p
20503102	hsa-miR-484
20503103	hsa-miR-485-5p
20503104	hsa-miR-485-3p
20503105	hsa-miR-486-5p
20503106	hsa-miR-486-3p
20503107	hsa-miR-487a-5p
20503108	hsa-miR-487a-3p
20503783	hsa-miR-488-5p
20503784	hsa-miR-488-3p
20503785	hsa-miR-489-5p
20503786	hsa-miR-489-3p
20503787	hsa-miR-490-5p
20503788	hsa-miR-490-3p
20503789	hsa-miR-491-5p
20503790	hsa-miR-491-3p
20503791	hsa-miR-511-5p
20503792	hsa-miR-511-3p
20503793	hsa-miR-146b-5p
20503794	hsa-miR-146b-3p
20503795	hsa-miR-202-5p
20503796	hsa-miR-202-3p
20503797	hsa-miR-492
20503798	hsa-miR-493-5p
20503799	hsa-miR-493-3p
20503800	hsa-miR-432-5p
20503801	hsa-miR-432-3p
20503802	hsa-miR-494-5p
20503803	hsa-miR-494-3p
20503804	hsa-miR-495-5p
20503805	hsa-miR-495-3p
20503806	hsa-miR-496
20503807	hsa-miR-193b-5p
20503808	hsa-miR-193b-3p
20503809	hsa-miR-497-5p
20503810	hsa-miR-497-3p
20503811	hsa-miR-181d-5p
20503812	hsa-miR-181d-3p
20503813	hsa-miR-512-5p
20503814	hsa-miR-512-3p
20503815	hsa-miR-498
20503816	hsa-miR-520e
20503817	hsa-miR-515-5p
20503818	hsa-miR-515-3p
20503819	hsa-miR-519e-5p
20503820	hsa-miR-519e-3p
20503821	hsa-miR-520f-5p
20503822	hsa-miR-520f-3p
20503823	hsa-miR-519c-5p
20503824	hsa-miR-519c-3p
20503825	hsa-miR-520a-5p
20503826	hsa-miR-520a-3p
20503827	hsa-miR-526b-5p
20503828	hsa-miR-526b-3p
20503829	hsa-miR-519b-5p
20503830	hsa-miR-519b-3p
20503831	hsa-miR-525-5p
20503832	hsa-miR-525-3p
20503833	hsa-miR-523-5p
20503834	hsa-miR-523-3p
20503835	hsa-miR-518f-5p
20503836	hsa-miR-518f-3p
20503837	hsa-miR-520b
20503838	hsa-miR-518b
20503839	hsa-miR-526a
20503840	hsa-miR-520c-5p
20503841	hsa-miR-520c-3p
20503842	hsa-miR-518c-5p
20503843	hsa-miR-518c-3p
20503844	hsa-miR-524-5p
20503845	hsa-miR-524-3p
20503846	hsa-miR-517-5p
20503847	hsa-miR-517a-3p
20503848	hsa-miR-519d-5p
20503849	hsa-miR-519d-3p
20503850	hsa-miR-521
20503851	hsa-miR-520d-5p
20503852	hsa-miR-520d-3p
20503853	hsa-miR-517b-3p
