Gene,logFC,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,consistent_direction
GMFB,0.1866499999999999,0.23972999999999978,0.2795300000000003,0.04068999999999967,1.339297235232713,0.2128727783458053,0.965529473937469,0.1274072313586545,True
ADGRE5,-0.21737666666666655,-0.5630699999999997,0.10210000000000008,-0.19116,-1.3392715502911632,0.21288081707227532,0.965529473937469,0.37595733660994946,False
PNLDC1,0.18656999999999999,0.07138,0.16538999999999993,0.32294,1.3392703654158338,0.21288118791398347,0.965529473937469,0.126111707004763,True
SCN3A,-0.27765333333333336,-0.14998,0.23022999999999993,-0.9132100000000001,-1.3390004724859368,0.21296567309274658,0.965529473937469,0.49571791179698504,False
NUP62CL,-0.20057000000000005,0.05648999999999971,-0.23896000000000006,-0.41923999999999984,-1.3389126392396142,0.21299317383490543,0.965529473937469,0.284977291250559,False
LOC729218,-0.21934666666666688,-0.010480000000000267,-0.03190000000000026,-0.6156600000000001,-1.338872935663266,0.2130056060780718,0.965529473937469,0.3838225707619813,True
CD48,0.21285333333333303,0.26417,-0.12026000000000003,0.49464999999999915,1.3388314664866026,0.21301859183194707,0.965529473937469,0.35717700939558045,False
LINC00315,0.3446566666666668,1.2741400000000003,-0.21865999999999985,-0.02151000000000014,1.3388287393047011,0.21301944585142654,0.965529473937469,0.5382922649867027,False
FOXD2-AS1,-0.18735000000000004,-0.3364400000000001,-0.15662999999999982,-0.06898000000000026,-1.338749260437552,0.2130443360008268,0.965529473937469,0.14032817886246626,True
CLTC,-0.20109999999999997,-0.11094999999999988,-0.47707999999999995,-0.015270000000000117,-1.338692170597916,0.2130622161640375,0.965529473937469,0.2892238485160883,True
HNRNPL,-0.1898166666666666,-0.09863999999999962,-0.3750499999999999,-0.09576000000000029,-1.3386558787140568,0.2130735832028817,0.965529473937469,0.17694324120877447,True
NCKAP5,0.18519666666666665,0.31396999999999986,0.11277000000000004,0.12885000000000002,1.3386542522180493,0.21307409265228286,0.965529473937469,0.10305798593228244,True
SPATS2L,-0.2683466666666666,-0.82963,0.26588,-0.2412899999999999,-1.3386455604544885,0.2130768150949345,0.965529473937469,0.48584634719175673,False
MIR4285,-0.20113999999999999,0.026080000000000048,-0.16999,-0.45951000000000003,-1.3383849911132473,0.2131584445208364,0.965529473937469,0.2899361758918312,False
