Ontology,GO_ID,GO_term,candidate_hits,candidate_total,term_size,background_size,odds_ratio,P.Value,Genes,adj.P.Val,FDR_significant,single_gene_supported
BP,GO:0006269,"DNA replication, synthesis of RNA primer",1,57,5,18514,82.37946428571429,0.015300903174972683,HELB,0.09848854586623686,False,True
BP,GO:0006771,riboflavin metabolic process,1,57,5,18514,82.37946428571429,0.015300903174972683,SLC52A3,0.09848854586623686,False,True
BP,GO:0007262,STAT protein import into nucleus,1,57,5,18514,82.37946428571429,0.015300903174972683,JAK3,0.09848854586623686,False,True
CC,GO:0033503,HULC complex,1,57,5,18514,82.37946428571429,0.015300903174972683,UBE2A,0.09848854586623686,False,True
BP,GO:0042506,tyrosine phosphorylation of Stat5 protein,1,57,5,18514,82.37946428571429,0.015300903174972683,JAK3,0.09848854586623686,False,True
MF,GO:0043141,ATP-dependent 5'-3' DNA helicase activity,1,57,5,18514,82.37946428571429,0.015300903174972683,HELB,0.09848854586623686,False,True
CC,GO:0070695,FHF complex,1,57,5,18514,82.37946428571429,0.015300903174972683,HOOK3,0.09848854586623686,False,True
BP,GO:0006303,double-strand break repair via nonhomologous end joining,2,57,63,18514,10.966318926974665,0.016128550484136073,HIST1H4B;HIST1H4D,0.09848854586623686,False,False
BP,GO:0046777,protein autophosphorylation,3,57,173,18514,5.976143790849673,0.016225245978355247,JAK3;MOB1B;PRKX,0.09848854586623686,False,False
CC,GO:0000790,nuclear chromatin,3,57,176,18514,5.871547848426461,0.016979363208844342,CHAF1B;HIST1H2AJ;UBE2A,0.09848854586623686,False,False
MF,GO:0003743,translation initiation factor activity,2,57,67,18514,10.28923076923077,0.018116874538319117,EIF1AX;EIF5,0.09848854586623686,False,False
BP,GO:0006968,cellular defense response,2,57,67,18514,10.28923076923077,0.018116874538319117,GNLY;SH2D1A,0.09848854586623686,False,False
MF,GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,1,57,6,18514,65.9,0.018333365680728072,ALDH3B1,0.09848854586623686,False,True
