Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
RUFY4,0.301863333333333,1.23273554275314,0.60886,0.17334,0.12339,1.97155660335328,0.0797003445636344,0.965864665352879,0.18934971412170631,-4.29827476992352,True,False,False,False
TCF7,-0.27173,1.20725463295395,-0.279769999999999,-0.36971,-0.16571,-1.97150953273987,0.0797064068116002,0.965864665352879,0.044089810407266124,-4.29829144871018,True,False,False,False
LOC101928402,0.276663333333333,1.21138993803177,0.11494,0.3382,0.37685,1.97147701064614,0.0797105956041323,0.965864665352879,0.07711590561454065,-4.29830297245389,True,False,False,False
PRAMEF15,-0.346116666666667,1.27113447819878,-0.647,0.1275,-0.51885,-1.97144589505578,0.079714603436961,0.965864665352879,0.2855447309476178,-4.29831399783313,False,False,False,False
LOC102723699,-0.298743333333333,1.23007248582267,-0.41733,-0.47227,-0.0066299999999999,-1.9714234773526,0.0797174910600194,0.965864665352879,0.17902788479960666,-4.29832194124243,True,False,False,False
APRT,0.31126,1.24079089075098,0.60432,0.32986,-0.0003999999999999,1.97131732737745,0.0797311655807136,0.965864665352879,0.21694911265084146,-4.29835955411707,False,False,False,False
ZNF806,0.271286666666667,1.20688370633456,0.22346,0.20604,0.38436,1.9712798746422,0.0797359908726433,0.965864665352879,0.04109541505402956,-4.29837282503816,True,False,False,False
ALB,0.282546666666667,1.21634009201825,0.13596,0.23112,0.48056,1.9711462874393,0.0797532040833814,0.965864665352879,0.1107076371189562,-4.29842016015455,True,False,False,False
LOC105378034,-0.304986666666667,1.23540721948709,-0.54247,0.00311,-0.3756,-1.97104456821073,0.0797663133522043,0.965864665352879,0.19939582512130652,-4.29845620333583,False,False,False,False
LOC105378731,0.271546666666667,1.20710122842466,0.35908,0.16056,0.295,1.97088963347397,0.0797862848070148,0.965864665352879,0.04340482573262067,-4.29851110309666,True,False,False,False
JPH1,0.33724,1.26333740726878,0.73868,0.31071,-0.0376700000000001,1.9708754085405,0.0797881186725648,0.965864665352879,0.2719033494589978,-4.29851614358887,False,False,False,False
ITLN2,0.27343,1.20867804017193,0.39556,0.26446,0.16027,1.97081990251059,0.0797952748424229,0.965864665352879,0.05675142668471803,-4.29853581172938,True,False,False,False
LOC646214,-0.275306666666667,1.21025131911475,-0.42808,-0.20777,-0.19007,-1.9706239550798,0.0798205424314604,0.965864665352879,0.06937772914150228,-4.29860524446369,True,False,False,False
LOC105369379,0.27019,1.20596664058445,0.34983,0.28557,0.17517,1.97039628277298,0.0798499105101635,0.965864665352879,0.03383503138340065,-4.29868591919394,True,False,False,False
DUSP26,-0.340896666666667,1.26654353402945,0.0835500000000002,-0.71144,-0.3948,-1.97031009274213,0.0798610310762834,0.965864665352879,0.27810820920507423,-4.29871646040725,False,False,False,False
ZDHHC12,0.35089,1.27534714761059,0.63501,0.56105,-0.14339,1.97021061669584,0.0798738676823158,0.965864665352879,0.29281315760028626,-4.29875170957836,False,False,False,False
MIR1234,0.3709,1.29315929380905,0.36611,0.85881,-0.11222,1.96978954826044,0.0799282249665767,0.965864665352879,0.316802894408318,-4.29890091557438,False,False,False,False
PARD6B,-0.311613333333333,1.24109481254986,-0.65256,-0.06419,-0.21809,-1.96945121776469,0.0799719267438777,0.965864665352879,0.21894482511359786,-4.29902080458589,True,False,False,False
FAM186A,0.26923,1.20516443163581,0.27245,0.34662,0.18862,1.96935379488924,0.0799845149544348,0.965864665352879,0.027553880030286113,-4.29905532705367,True,False,False,False
RAB41,-0.30096,1.23196391567964,-0.07182,-0.59088,-0.24018,-1.96928838908582,0.0799929672282756,0.965864665352879,0.187862847152642,-4.29907850410399,True,False,False,False
GSX1,-0.288633333333333,1.22148261756788,-0.53199,-0.17858,-0.15533,-1.96902473130918,0.0800270478440484,0.965864665352879,0.1414076156069652,-4.29917193369782,True,False,False,False
LOC105378550,-0.267926666666667,1.20407617552874,-0.24807,-0.33766,-0.21805,-1.96898635754654,0.0800320092161076,0.965864665352879,0.01751043090227337,-4.29918553185603,True,False,False,False
TRAT1,-0.278466666666666,1.21290509242862,-0.1971,-0.4582,-0.180099999999999,-1.96864870192893,0.080075677547382,0.965864665352879,0.09050202089753549,-4.29930518440502,True,False,False,False
LOC105372645,0.362276666666667,1.28545282604789,0.25667,0.86879,-0.0386299999999999,1.96813133540265,0.0801426314066329,0.965864665352879,0.3079766464994184,-4.29948852196365,False,False,False,False
AHCYL2,0.30583,1.23612959298256,0.13106,0.63413,0.1523,1.96812231788644,0.0801437988597513,0.965864665352879,0.20368009196966147,-4.29949171749588,True,False,False,False
LCOR,-0.30223,1.2330488871978,-0.41667,-0.49679,0.0067700000000003,-1.96811335143745,0.0801449597174513,0.965864665352879,0.19269834622580276,-4.29949489493223,False,False,False,False
ACRC,0.415716666666667,1.33396116504836,0.90659,-0.2546,0.59516,1.96797384662711,0.0801630230182562,0.965864665352879,0.3536283209016381,-4.29954433128783,False,False,False,False
SMIM23,-0.392183333333333,1.312378017035,-0.56673,0.21588,-0.8257,-1.96791774494942,0.0801702882403561,0.965864665352879,0.336952622243825,-4.29956421210723,False,False,False,False
PGP,0.353033333333333,1.27724326944018,0.0288600000000001,0.18021,0.85003,1.96784259986097,0.080180020581798,0.965864665352879,0.29667542907053984,-4.29959084141108,True,False,False,False
LOC105373595,0.270276666666667,1.20603908849982,0.3761,0.20134,0.23339,1.9677749778636,0.0801887795360113,0.965864665352879,0.03730119484666637,-4.29961480479013,True,False,False,False
FOXS1,0.30575,1.23606104930363,0.59343,0.0246300000000002,0.29919,1.96770517264799,0.0801978222309723,0.965864665352879,0.20369724588524052,-4.29963954188831,True,False,False,False
MTCL1,0.287263333333333,1.22032323402857,0.3805,0.42974,0.05155,1.96730237744191,0.0802500199614034,0.965864665352879,0.13662960462997048,-4.2997822826389,True,False,False,False
KIAA1468,-0.28028,1.21443055967739,-0.13098,-0.24738,-0.46248,-1.96721026132969,0.0802619617025551,0.965864665352879,0.10198699161784941,-4.29981492655182,True,False,False,False
GAS7,-0.3915,1.31175655562413,-0.22668,-0.99574,0.04792,-1.96700751363228,0.0802882514325946,0.965864665352879,0.3367195415121105,-4.29988677613941,False,False,False,False
MIR4739,0.51929,1.4332497227903,1.31507,0.60098,-0.35818,1.96650766952439,0.0803530997358438,0.965864665352879,0.39618516483742444,-4.3000639122289,False,False,False,False
SFTA2,0.26771,1.2038953586721,0.30902,0.30091,0.1932,1.96620020448194,0.0803930140294603,0.965864665352879,0.018893232636354285,-4.30017287369555,True,False,False,False
CBWD2,-0.37793,1.29947600995651,-0.0529399999999995,-0.11951,-0.96134,-1.96575770140809,0.080450491621171,0.965864665352879,0.32528988483553145,-4.30032969239385,True,False,False,False
LINC00670,-0.280906666666667,1.21495818917711,-0.38439,-0.37721,-0.0811200000000001,-1.96573151286445,0.0804538945241526,0.965864665352879,0.10665360669807217,-4.30033897341183,True,False,False,False
PPM1B,-0.272276666666667,1.20771217311344,-0.17524,-0.24287,-0.39872,-1.96536695343045,0.0805012790544654,0.965864665352879,0.05429182438357955,-4.30046817113502,True,False,False,False
TBC1D7,-0.348363333333333,1.27311552074316,-0.00502,-0.21655,-0.82352,-1.96529153392859,0.0805110851988293,0.965864665352879,0.2914135772484064,-4.30049489951949,True,False,False,False
LOC101927924,-0.285973333333333,1.2192325576651,-0.0552200000000003,-0.42066,-0.38204,-1.96510610107567,0.0805352002446337,0.965864665352879,0.1324292275759077,-4.30056061644333,True,False,False,False
SHC4,-0.284986666666667,1.21839900322537,-0.48069,-0.28516,-0.08911,-1.96502933979964,0.0805451848482141,0.965864665352879,0.12784565510720336,-4.30058782053522,True,False,False,False
NARS2,0.266686666666667,1.20304171366595,0.27463,0.31353,0.2119,1.96469659583662,0.0805884795812643,0.965864665352879,0.012100633864769787,-4.30070574517825,True,False,False,False
ZNF793,0.335746666666667,1.26203040354061,0.41535,-0.0855099999999999,0.6774,1.96447104913769,0.0806178389747917,0.965864665352879,0.27234680197473193,-4.30078567963693,False,False,False,False
PPP1R15B,-0.300893333333333,1.23190698817398,-0.0215900000000007,-0.55481,-0.32628,-1.96444000521461,0.080621880753744,0.965864665352879,0.19074422782671416,-4.30079668173769,True,False,False,False
EHMT1,-0.38575,1.30653882834917,-0.98532,-0.17934,0.0074099999999992,-1.96428011914916,0.0806427002437915,0.965864665352879,0.33288571777269244,-4.30085334619266,False,False,False,False
LOC101927757,-0.31817,1.24674809620755,0.0104499999999998,-0.65194,-0.31302,-1.9638733239585,0.0806956938878957,0.965864665352879,0.2380602140066972,-4.30099751759084,False,False,False,False
MIR4755,-0.297556666666667,1.22906112457269,-0.42719,-0.46095,-0.00453,-1.96380766453789,0.0807042505062363,0.965864665352879,0.1799523933571904,-4.3010207879457,True,False,False,False
SEMG2,-0.332486666666667,1.25918186373799,-0.50816,-0.5912,0.1019,-1.96269641201937,0.0808491975442352,0.965864665352879,0.26751998316249637,-4.30141463290469,False,False,False,False
C4orf51,0.272646666666667,1.20802194808133,0.28808,0.38509,0.14477,1.96250778423264,0.0808738258468086,0.965864665352879,0.0597323903692767,-4.30148148659908,True,False,False,False
TRERNA1,0.26613,1.20257760724219,0.21785,0.31122,0.26932,1.96231721627991,0.0808987146932774,0.965864665352879,0.010137264409653998,-4.30154902825416,True,False,False,False
HERC5,0.293013333333333,1.22519665507378,0.42189,0.0207999999999999,0.43635,1.96230228307631,0.080900665329191,0.965864665352879,0.1643243350764242,-4.30155432093793,True,False,False,False
LINC00410,0.270316666666667,1.20607252746714,0.38506,0.19556,0.23033,1.96229581587258,0.0809015101155397,0.965864665352879,0.04342261070723136,-4.3015566130699,True,False,False,False
MFSD14A,-0.27271,1.20807498058917,-0.13912,-0.37717,-0.30184,-1.96227193811081,0.0809046292496611,0.965864665352879,0.06040051460443765,-4.30156507592408,True,False,False,False
LHX5,0.31323,1.24248634795485,-0.01004,0.62011,0.32962,1.96152521961003,0.0810022300953066,0.965864665352879,0.22754295710029304,-4.30182973352177,False,False,False,False
MXD4,-0.332426666666667,1.25912949692541,-0.53849,-0.56371,0.10492,-1.96141785903874,0.0810162719802289,0.965864665352879,0.26801977270710203,-4.30186778547154,False,False,False,False
RPS6KA3,-0.288966666666666,1.22176487258483,-0.14255,-0.53959,-0.18476,-1.96131391195637,0.0810298696079545,0.965864665352879,0.14864119528117126,-4.30190462767094,True,False,False,False
AMACR,0.293543333333333,1.22564683581148,0.56808,0.13313,0.17942,1.9612429668395,0.0810391513926814,0.965864665352879,0.16709795348524642,-4.30192977296384,True,False,False,False
LOC105374435,0.275613333333333,1.21050860369413,0.11433,0.392,0.32051,1.96109558553493,0.0810584365842767,0.965864665352879,0.08037222561626516,-4.30198200990824,True,False,False,False
GLE1,0.27149,1.20705381642305,0.31274,0.35825,0.14348,1.96090810456434,0.0810829752005588,0.965864665352879,0.05333066351638921,-4.30204845981333,True,False,False,False
LOC100133286,-0.282713333333333,1.21648061725271,-0.49856,-0.17836,-0.17122,-1.96089352025495,0.0810848843763205,0.965864665352879,0.12008064513805877,-4.30205362902275,True,False,False,False
MIR551A,-0.285693333333333,1.2189959504956,-0.36461,-0.0555800000000002,-0.43689,-1.96077560572458,0.081100321678752,0.965864665352879,0.13453075647937904,-4.30209542228717,True,False,False,False
KRTAP24-1,0.273973333333333,1.20913332609732,0.17879,0.42588,0.21725,1.96073725686553,0.0811053428897967,0.965864665352879,0.07031879848865828,-4.30210901456535,True,False,False,False
CD160,-0.42844,1.34577758759278,0.1241,-0.2861,-1.12332,-1.9604232372869,0.081146470159738,0.965864665352879,0.36346155714002887,-4.3022203153992,False,False,False,False
LOC102724580,0.301833333333333,1.23270990900469,-0.01328,0.48007,0.43871,1.96042208533831,0.0811466210673006,0.965864665352879,0.19628667565109806,-4.30222072369646,False,False,False,False
LOC105370636,0.291263333333333,1.22371138326645,0.38972,0.02898,0.45509,1.96012540318,0.0811854958819124,0.965864665352879,0.1589947484266729,-4.30232588026086,True,False,False,False
TOX4,-0.300256666666667,1.23136346299459,-0.20399,-0.60324,-0.09354,-1.95926264592107,0.0812986449230144,0.965864665352879,0.19199005222878696,-4.30263168183242,True,False,False,False
CYP2C18,0.2786,1.21301719384141,0.4684,0.2,0.1674,1.95895094075927,0.0813395612369724,0.965864665352879,0.09991764151810252,-4.30274216630535,True,False,False,False
NOL3,0.316726666666667,1.24550142022958,-0.03992,0.38152,0.60858,1.95884824190645,0.0813530463873325,0.965864665352879,0.23742707653317016,-4.3027785682853,False,False,False,False
