Gene,logFC,FC_abs,diff_MZ1,diff_MZ2,diff_MZ3,t_moderated,P.Value,adj.P.Val,P.ordinary_t,B,consistent_direction,FDR_significant,moderated_only_candidate,exploratory_candidate
LOC101928324,0.803966666666667,1.74589484306524,0.70353,0.34517,1.3632,4.13989768380764,0.0024477560205663,0.965864665352879,0.11439851935780593,-3.67097311664339,True,False,True,False
OR2L3,-0.60761,1.5237328679148,-0.35679,-0.71657,-0.74947,-4.12475340664478,0.0025041460749019,0.965864665352879,0.04027422179800182,-3.67411219373677,True,False,True,True
LOC100996579,0.58799,1.50315105898027,0.7612,0.41002,0.59275,4.10803512803849,0.0025680023373888,0.965864665352879,0.02847811824909203,-3.67759677603177,True,False,True,True
TNFRSF10D,-0.907793333333334,1.8761736110975,-1.60042,-0.80814,-0.31482,-4.10258170850371,0.0025892039740035,0.965864665352879,0.13622404596171347,-3.6787378134036,True,False,True,False
LINC00266-1,-0.783296666666667,1.72105913253234,-1.24929,-0.25537,-0.84523,-4.10080175500106,0.0025961641699231,0.965864665352879,0.11315808081731754,-3.67911070689327,True,False,True,False
MIR3147,0.7358,1.66532066329369,1.21874,0.32413,0.66453,4.04261729356572,0.0028349712987693,0.965864665352879,0.10595395184457394,-3.6914276338792,True,False,True,False
WNT10A,-0.603143333333333,1.51902259887778,-0.48445,-0.43965,-0.88533,-4.00915914868591,0.0029827469157022,0.965864665352879,0.05099846370758664,-3.69862326720685,True,False,True,False
HELB,-0.61286,1.52928786766165,-0.74559,-0.7894,-0.30359,-3.99712194630103,0.003037889664724,0.965864665352879,0.05852039958133862,-3.70123238551197,True,False,True,False
COQ7,-0.613986666666667,1.53048262509442,-0.41051,-0.92456,-0.50689,-3.98932312616261,0.0030741917860164,0.965864665352879,0.060126790529900866,-3.70292858985371,True,False,True,False
RAD21-AS1,0.673396666666667,1.59482338691418,1.10612,0.45222,0.46185,3.98926971494722,0.0030744419834501,0.965864665352879,0.08959149204477182,-3.70294022220667,True,False,True,False
HIST1H2AJ,-0.770996666666667,1.70644825348693,-0.26968,-1.32458,-0.71873,-3.91887615361129,0.0034236903399324,0.965864665352879,0.12772843741350198,-3.71845771756836,True,False,True,False
DPY19L1P1,-0.63153,1.54920708029483,-0.31008,-0.61861,-0.9659,-3.90927947225828,0.003474460332623,0.965864665352879,0.07940322848012414,-3.72060226591585,True,False,True,False
OCLN,0.803816666666667,1.74571332818844,1.44774,0.33973,0.62398,3.90245724724999,0.0035110359516761,0.965864665352879,0.13668169267505811,-3.72213108225136,True,False,True,False
CASC9,0.688893333333333,1.61204647079665,0.62617,0.30291,1.1376,3.90179432697964,0.003514611655598,0.965864665352879,0.10515147174159527,-3.72227982775118,True,False,True,False
JAK3,-0.6161,1.53272619701006,-0.93355,-0.59285,-0.3219,-3.88915612190991,0.0035835214356536,0.965864665352879,0.07350985800260539,-3.72512200276608,True,False,True,False
OR7E14P,0.634753333333333,1.55267225714155,0.39575,0.4855,1.02301,3.88904578555454,0.0035841292915656,0.965864665352879,0.08345526779701275,-3.72514686985539,True,False,True,False
MIR3130-1,0.701783333333333,1.62651410495968,0.27008,1.15778,0.67749,3.88342243273704,0.0036152536853032,0.965864665352879,0.11168811980612338,-3.72641546993358,True,False,True,False
HOOK3,-0.612766666666667,1.52918893551495,-0.37058,-0.96303,-0.50469,-3.85369605385826,0.0037845954654435,0.965864665352879,0.07603338977701689,-3.73316195331759,True,False,True,False
RNU6-71P,0.67995,1.60208423020872,0.60309,1.13734,0.29942,3.83843070113171,0.0038747927164731,0.965864665352879,0.10895000620367025,-3.7366529435933,True,False,True,False
LOC105370271,-0.655946666666667,1.5756495226474,-0.71708,-0.23983,-1.01093,-3.83227294504032,0.0039118161156068,0.965864665352879,0.10003493814957681,-3.7380662471762,True,False,True,False
SBNO1,-0.58866,1.50384929739707,-0.30958,-0.87982,-0.57658,-3.78563037264809,0.0042046618736813,0.965864665352879,0.0701636111835074,-3.74886719006759,True,False,True,False
LOC105371196,-0.716423333333334,1.64310347041442,-0.51215,-0.35768,-1.27944,-3.77396914652219,0.0042814294141305,0.965864665352879,0.1284704364010717,-3.75159410181355,True,False,True,False
CHAF1B,-0.77399,1.70999250297804,-1.3017,-0.15919,-0.86108,-3.75492624293451,0.0044099823804534,0.965864665352879,0.14548343783863132,-3.75607011635366,True,False,True,False
EIF1AX,-0.588486666666667,1.50366862750788,-0.33813,-0.91407,-0.51326,-3.75196424845964,0.0044303404270629,0.965864665352879,0.07463164573346241,-3.75676889260364,True,False,True,False
ZNHIT3,-0.66769,1.58852742769181,-0.16293,-0.90757,-0.93257,-3.72066257720548,0.0046516271931243,0.965864665352879,0.11817614390860512,-3.76419570291397,True,False,True,False
PRC1,-0.58782,1.50297394557941,-0.2683,-0.88155,-0.61361,-3.70749071832789,0.0047481946310315,0.965864665352879,0.08034518895992,-3.76734410429824,True,False,True,False
PCID2,-0.61474,1.53128200723637,-0.3205,-1.01677,-0.50695,-3.69204704351221,0.0048641090063641,0.965864665352879,0.09802933315444852,-3.77105306823689,True,False,True,False
IGHJ1,0.592443333333333,1.50779817759271,0.56904,0.94166,0.26663,3.63352700720371,0.0053310394417445,0.965864665352879,0.09358407056227762,-3.7852799201802,True,False,True,False
FCGR3B,-0.709613333333333,1.63536575269819,-1.31626,-0.47005,-0.34253,-3.60745781674348,0.0055539810593727,0.965864665352879,0.14589389088715962,-3.79170603454076,True,False,True,False
TRBV5-4,-0.61689,1.53356572667174,-0.49801,-1.05397,-0.29869,-3.5962095712523,0.0056531756161804,0.965864665352879,0.11208434238795224,-3.79449566097233,True,False,True,False
HIST1H4B,-0.60828,1.52444066692074,-0.41644,-1.04396,-0.36444,-3.59165983036974,0.0056938243473262,0.965864665352879,0.10832362709249707,-3.79562692251507,True,False,True,False
GK5,-0.602703333333333,1.51855939077516,-0.8162,-0.82163,-0.17028,-3.57143899398097,0.0058782249130588,0.965864665352879,0.10820763716802112,-3.80067494091216,True,False,True,False
EIF5,-0.60897,1.52516993790926,-0.39911,-1.06024,-0.36756,-3.55104886684979,0.0060705156177427,0.965864665352879,0.11439071485477792,-3.80579875957717,True,False,True,False
FBXO48,-0.60277,1.51862956474053,-0.1997,-0.97554,-0.63307,-3.52283160750765,0.0063475508846975,0.965864665352879,0.11520995133606558,-3.81294515662064,True,False,True,False
CCDC144A,-0.592383333333333,1.50773547133332,-0.40421,-0.34018,-1.03276,-3.48259564063208,0.0067656705346191,0.965864665352879,0.11551777282827563,-3.82324767949662,True,False,True,False
